,uuid,nb_champs_renseignés
231,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-24-02,17.0
232,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-03-02,16.0
233,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-07,17.0
234,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-09,17.0
235,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-04-02,16.0
236,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-03,17.0
237,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-06,17.0
238,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-04-03,17.0
239,oai:search-data.ubfc.fr:FR-18008901306731-2016-05-26,17.0
240,oai:search-data.ubfc.fr:FR-13002091000019-2023-01-24,16.0
241,oai:search-data.ubfc.fr:FR-18008901306731-2016-12-19-03,17.0
242,oai:search-data.ubfc.fr:FR-18008901306731-2016-12-19-04,17.0
243,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-15-02,17.0
244,oai:search-data.ubfc.fr:FR-18008901306731-2015-03-08-02,16.0
245,oai:search-data.ubfc.fr:FR-13002091000019-2023-04-11,17.0
246,oai:search-data.ubfc.fr:FR-18008901306731-2016-09-07-02,16.0
247,oai:search-data.ubfc.fr:FR-18008901306731-2015-03-01,16.0
248,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-15,16.0
249,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-17,17.0
250,oai:search-data.ubfc.fr:FR-18008901306731-2015-03-04,17.0
251,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-16,17.0
252,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-10,17.0
253,oai:search-data.ubfc.fr:FR-18008901306731-2015-03-09,16.0
254,oai:search-data.ubfc.fr:FR-18008901306731-2015-03-08,17.0
255,oai:search-data.ubfc.fr:FR-18008901306731-2016-02-15-20,16.0
256,info:doi:10.24396/ORDAR-128,4.0
257,info:doi:10.24396/ORDAR-72,4.0
258,info:doi:10.24396/ORDAR-73,4.0
259,info:doi:10.24396/ORDAR-71,4.0
260,info:doi:10.24396/ORDAR-76,4.0
261,info:doi:10.24396/ORDAR-77,4.0
262,info:doi:10.24396/ORDAR-74,4.0
263,info:doi:10.24396/ORDAR-75,4.0
264,info:doi:10.24396/ORDAR-58,4.0
265,info:doi:10.24396/ORDAR-59,4.0
266,info:doi:10.24396/ORDAR-78,4.0
267,info:doi:10.24396/ORDAR-56,4.0
